Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
141395,AAA Batteries (4-pack),1,2.99,2019-01-29 16:20:00,"790 Hickory St, Portland, ME 04101",January
141408,Apple Airpods Headphones,1,150.0,2019-01-07 13:25:00,"103 14th St, San Francisco, CA 94016",January
141798,20in Monitor,1,109.99,2019-01-18 07:48:00,"482 Washington St, Boston, MA 02215",January
142032,Flatscreen TV,1,300.0,2019-01-14 09:14:00,"173 Jackson St, San Francisco, CA 94016",January
142062,Wired Headphones,1,11.99,2019-01-24 12:31:00,"930 Church St, San Francisco, CA 94016",January
142211,Wired Headphones,1,11.99,2019-01-03 16:01:00,"663 River St, New York City, NY 10001",January
142344,27in 4K Gaming Monitor,1,389.99,2019-01-02 11:01:00,"336 2nd St, Los Angeles, CA 90001",January
142517,Lightning Charging Cable,1,14.95,2019-01-20 23:36:00,"91 West St, Seattle, WA 98101",January
142948,AAA Batteries (4-pack),1,2.99,2019-01-31 15:43:00,"43 5th St, Dallas, TX 75001",January
143033,AAA Batteries (4-pack),1,2.99,2019-01-14 16:50:00,"464 Lincoln St, Austin, TX 73301",January
143035,Apple Airpods Headphones,1,150.0,2019-01-08 14:47:00,"560 Washington St, San Francisco, CA 94016",January
143140,iPhone,1,700.0,2019-01-23 05:46:00,"227 Hill St, Atlanta, GA 30301",January
143218,Lightning Charging Cable,1,14.95,2019-01-07 12:15:00,"192 Hickory St, Atlanta, GA 30301",January
143591,Wired Headphones,1,11.99,2019-01-26 23:06:00,"383 Elm St, New York City, NY 10001",January
143708,Bose SoundSport Headphones,1,99.99,2019-01-05 15:24:00,"987 Willow St, San Francisco, CA 94016",January
143816,Bose SoundSport Headphones,1,99.99,2019-01-16 11:12:00,"578 Cedar St, Austin, TX 73301",January
143989,34in Ultrawide Monitor,1,379.99,2019-01-13 07:44:00,"217 9th St, Los Angeles, CA 90001",January
144558,Lightning Charging Cable,1,14.95,2019-01-28 19:14:00,"512 11th St, Los Angeles, CA 90001",January
144569,AA Batteries (4-pack),1,3.84,2019-01-31 14:36:00,"188 South St, San Francisco, CA 94016",January
144603,Google Phone,1,600.0,2019-01-29 22:47:00,"419 Main St, New York City, NY 10001",January
144862,LG Dryer,1,600.0,2019-01-18 20:13:00,"25 Church St, San Francisco, CA 94016",January
145078,AA Batteries (4-pack),2,3.84,2019-01-14 06:29:00,"579 Highland St, Austin, TX 73301",January
145764,AAA Batteries (4-pack),2,2.99,2019-01-22 11:53:00,"362 Pine St, San Francisco, CA 94016",January
146233,AA Batteries (4-pack),1,3.84,2019-01-19 12:17:00,"830 Spruce St, Portland, ME 04101",January
146499,Flatscreen TV,1,300.0,2019-01-19 17:31:00,"297 2nd St, San Francisco, CA 94016",January
146877,34in Ultrawide Monitor,1,379.99,2019-01-13 11:02:00,"978 10th St, Atlanta, GA 30301",January
147117,Lightning Charging Cable,1,14.95,2019-01-28 13:21:00,"360 Elm St, Boston, MA 02215",January
148105,AAA Batteries (4-pack),2,2.99,2019-01-25 10:40:00,"377 Church St, Dallas, TX 75001",January
148274,Lightning Charging Cable,1,14.95,2019-01-13 22:41:00,"218 10th St, San Francisco, CA 94016",January
148438,34in Ultrawide Monitor,1,379.99,2019-01-10 20:10:00,"253 Center St, San Francisco, CA 94016",January
148695,AAA Batteries (4-pack),1,2.99,2019-01-18 23:52:00,"29 Lake St, San Francisco, CA 94016",January
148759,Google Phone,1,600.0,2019-01-28 12:31:00,"882 Jackson St, Atlanta, GA 30301",January
148837,USB-C Charging Cable,1,11.95,2019-01-06 12:09:00,"6 Lincoln St, San Francisco, CA 94016",January
149014,AAA Batteries (4-pack),1,2.99,2019-01-05 21:30:00,"616 Center St, New York City, NY 10001",January
149033,Wired Headphones,1,11.99,2019-01-18 22:17:00,"160 Jackson St, Seattle, WA 98101",January
149243,Apple Airpods Headphones,1,150.0,2019-01-21 14:26:00,"109 12th St, Portland, ME 04101",January
149307,AAA Batteries (4-pack),1,2.99,2019-01-13 12:12:00,"36 Sunset St, Austin, TX 73301",January
149639,Lightning Charging Cable,1,14.95,2019-01-10 09:15:00,"494 Highland St, Atlanta, GA 30301",January
149670,27in FHD Monitor,1,149.99,2019-01-24 10:52:00,"727 Cedar St, Boston, MA 02215",January
149953,USB-C Charging Cable,2,11.95,2019-01-17 11:41:00,"605 2nd St, Boston, MA 02215",January
150184,AA Batteries (4-pack),2,3.84,2019-01-05 12:34:00,"580 Chestnut St, Portland, OR 97035",January
150209,Lightning Charging Cable,1,14.95,2019-01-23 23:33:00,"523 12th St, Boston, MA 02215",January
150332,Lightning Charging Cable,2,14.95,2019-01-31 13:21:00,"876 1st St, Atlanta, GA 30301",January
141300,Apple Airpods Headphones,1,150.0,2019-01-23 10:21:00,"121 Cherry St, Boston, MA 02215",January
141911,Lightning Charging Cable,1,14.95,2019-01-20 14:35:00,"902 Elm St, Boston, MA 02215",January
142105,ThinkPad Laptop,1,999.99,2019-01-31 13:34:00,"306 14th St, Portland, OR 97035",January
142521,20in Monitor,1,109.99,2019-01-25 11:58:00,"153 Center St, Los Angeles, CA 90001",January
142700,USB-C Charging Cable,1,11.95,2019-01-20 07:52:00,"881 Spruce St, Boston, MA 02215",January
142885,AA Batteries (4-pack),1,3.84,2019-01-24 13:13:00,"582 Hickory St, Los Angeles, CA 90001",January
143028,AAA Batteries (4-pack),2,2.99,2019-01-08 14:35:00,"478 Lake St, Boston, MA 02215",January
143161,AA Batteries (4-pack),1,3.84,2019-01-02 08:47:00,"938 11th St, San Francisco, CA 94016",January
143422,Wired Headphones,1,11.99,2019-01-05 21:52:00,"782 Dogwood St, Atlanta, GA 30301",January
144410,Apple Airpods Headphones,1,150.0,2019-01-15 08:06:00,"364 Center St, San Francisco, CA 94016",January
144789,20in Monitor,1,109.99,2019-01-06 20:12:00,"617 Cedar St, Portland, OR 97035",January
144819,Wired Headphones,1,11.99,2019-01-18 16:28:00,"916 Pine St, New York City, NY 10001",January
144873,USB-C Charging Cable,1,11.95,2019-01-15 16:03:00,"775 Lincoln St, Los Angeles, CA 90001",January
144888,USB-C Charging Cable,1,11.95,2019-01-14 22:49:00,"485 Lincoln St, Dallas, TX 75001",January
145136,AAA Batteries (4-pack),3,2.99,2019-01-15 12:59:00,"728 Johnson St, New York City, NY 10001",January
145628,AAA Batteries (4-pack),1,2.99,2019-01-05 21:13:00,"97 Church St, Boston, MA 02215",January
146264,Lightning Charging Cable,1,14.95,2019-01-26 19:42:00,"894 Chestnut St, New York City, NY 10001",January
147532,Apple Airpods Headphones,1,150.0,2019-01-10 20:55:00,"637 Center St, Boston, MA 02215",January
147758,USB-C Charging Cable,1,11.95,2019-01-01 09:48:00,"281 North St, Atlanta, GA 30301",January
147775,AAA Batteries (4-pack),1,2.99,2019-01-06 13:29:00,"260 Meadow St, Atlanta, GA 30301",January
147898,USB-C Charging Cable,1,11.95,2019-01-11 13:36:00,"461 9th St, New York City, NY 10001",January
147927,ThinkPad Laptop,1,999.99,2019-01-11 01:36:00,"712 Elm St, Los Angeles, CA 90001",January
147998,Google Phone,1,600.0,2019-01-20 13:30:00,"341 Pine St, New York City, NY 10001",January
148071,20in Monitor,1,109.99,2019-01-09 18:19:00,"585 Walnut St, Los Angeles, CA 90001",January
