Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
143708,Bose SoundSport Headphones,1,99.99,2019-01-05 15:24:00,"987 Willow St, San Francisco, CA 94016",January
143816,Bose SoundSport Headphones,1,99.99,2019-01-16 11:12:00,"578 Cedar St, Austin, TX 73301",January
149911,Bose SoundSport Headphones,1,99.99,2019-01-04 21:33:00,"990 Wilson St, Dallas, TX 75001",January
141287,Bose SoundSport Headphones,1,99.99,2019-01-31 08:38:00,"386 Elm St, San Francisco, CA 94016",January
142936,Bose SoundSport Headphones,1,99.99,2019-01-10 18:14:00,"677 Sunset St, Seattle, WA 98101",January
145657,Bose SoundSport Headphones,1,99.99,2019-01-06 23:07:00,"663 14th St, Dallas, TX 75001",January
146468,Bose SoundSport Headphones,1,99.99,2019-01-23 18:55:00,"592 River St, Los Angeles, CA 90001",January
147050,Bose SoundSport Headphones,1,99.99,2019-01-17 11:28:00,"636 Elm St, Los Angeles, CA 90001",January
147138,Bose SoundSport Headphones,1,99.99,2019-01-14 11:19:00,"936 Maple St, Portland, OR 97035",January
147378,Bose SoundSport Headphones,1,99.99,2019-01-24 13:05:00,"823 Walnut St, New York City, NY 10001",January
147857,Bose SoundSport Headphones,1,99.99,2019-01-18 19:00:00,"624 7th St, Atlanta, GA 30301",January
148236,Bose SoundSport Headphones,1,99.99,2019-01-30 19:06:00,"962 2nd St, Atlanta, GA 30301",January
149810,Bose SoundSport Headphones,1,99.99,2019-01-22 22:23:00,"802 7th St, Portland, ME 04101",January
149979,Bose SoundSport Headphones,1,99.99,2019-01-11 09:15:00,"707 Highland St, Austin, TX 73301",January
143245,Bose SoundSport Headphones,1,99.99,2019-01-30 18:11:00,"559 North St, Los Angeles, CA 90001",January
144919,Bose SoundSport Headphones,1,99.99,2019-01-12 21:02:00,"128 Hickory St, Atlanta, GA 30301",January
142471,Bose SoundSport Headphones,1,99.99,2019-01-19 19:07:00,"938 8th St, Dallas, TX 75001",January
142506,Bose SoundSport Headphones,1,99.99,2019-01-23 17:44:00,"2 Highland St, Boston, MA 02215",January
143844,Bose SoundSport Headphones,1,99.99,2019-01-05 14:13:00,"758 Maple St, Los Angeles, CA 90001",January
143961,Bose SoundSport Headphones,1,99.99,2019-01-17 12:43:00,"153 Hickory St, Atlanta, GA 30301",January
145277,Bose SoundSport Headphones,1,99.99,2019-01-21 00:53:00,"86 1st St, Boston, MA 02215",January
146082,Bose SoundSport Headphones,1,99.99,2019-01-05 13:06:00,"968 Lake St, New York City, NY 10001",January
147169,Bose SoundSport Headphones,1,99.99,2019-01-15 20:32:00,"184 Main St, Boston, MA 02215",January
145302,Bose SoundSport Headphones,1,99.99,2019-01-07 14:14:00,"91 Madison St, New York City, NY 10001",January
145873,Bose SoundSport Headphones,1,99.99,2019-01-16 09:57:00,"305 Church St, Seattle, WA 98101",January
148104,Bose SoundSport Headphones,1,99.99,2019-01-19 00:09:00,"528 14th St, Dallas, TX 75001",January
148732,Bose SoundSport Headphones,1,99.99,2019-01-22 13:43:00,"916 14th St, Los Angeles, CA 90001",January
150223,Bose SoundSport Headphones,1,99.99,2019-01-14 15:47:00,"19 Ridge St, San Francisco, CA 94016",January
141692,Bose SoundSport Headphones,1,99.99,2019-01-27 19:46:00,"798 Hill St, Portland, OR 97035",January
143714,Bose SoundSport Headphones,1,99.99,2019-01-16 20:32:00,"693 4th St, Los Angeles, CA 90001",January
144090,Bose SoundSport Headphones,1,99.99,2019-01-21 13:05:00,"989 4th St, San Francisco, CA 94016",January
145562,Bose SoundSport Headphones,1,99.99,2019-01-28 00:23:00,"976 Lake St, Los Angeles, CA 90001",January
147971,Bose SoundSport Headphones,1,99.99,2019-01-18 13:41:00,"236 River St, San Francisco, CA 94016",January
144188,Bose SoundSport Headphones,1,99.99,2019-01-15 01:18:00,"676 Park St, Los Angeles, CA 90001",January
147702,Bose SoundSport Headphones,1,99.99,2019-01-19 20:46:00,"941 Church St, San Francisco, CA 94016",January
148514,Bose SoundSport Headphones,1,99.99,2019-01-28 10:28:00,"35 Adams St, Portland, OR 97035",January
144380,Bose SoundSport Headphones,1,99.99,2019-01-27 20:16:00,"696 14th St, San Francisco, CA 94016",January
147055,Bose SoundSport Headphones,1,99.99,2019-01-02 14:06:00,"770 5th St, San Francisco, CA 94016",January
146683,Bose SoundSport Headphones,1,99.99,2019-01-22 01:34:00,"558 Walnut St, Los Angeles, CA 90001",January
148327,Bose SoundSport Headphones,1,99.99,2019-01-15 18:39:00,"61 Dogwood St, Seattle, WA 98101",January
149722,Bose SoundSport Headphones,1,99.99,2019-01-03 11:46:00,"620 Highland St, New York City, NY 10001",January
150051,Bose SoundSport Headphones,1,99.99,2019-01-07 16:23:00,"153 River St, San Francisco, CA 94016",January
141783,Bose SoundSport Headphones,1,99.99,2019-01-27 17:48:00,"581 Willow St, Boston, MA 02215",January
146314,Bose SoundSport Headphones,1,99.99,2019-01-12 20:17:00,"833 Church St, San Francisco, CA 94016",January
142901,Bose SoundSport Headphones,1,99.99,2019-01-13 11:11:00,"535 7th St, Boston, MA 02215",January
144749,Bose SoundSport Headphones,1,99.99,2019-01-27 20:26:00,"73 Walnut St, Portland, OR 97035",January
145760,Bose SoundSport Headphones,1,99.99,2019-01-03 20:54:00,"378 11th St, New York City, NY 10001",January
147362,Bose SoundSport Headphones,1,99.99,2019-01-26 17:17:00,"777 Ridge St, Los Angeles, CA 90001",January
148405,Bose SoundSport Headphones,1,99.99,2019-01-17 08:02:00,"456 Walnut St, Los Angeles, CA 90001",January
149546,Bose SoundSport Headphones,1,99.99,2019-01-01 17:57:00,"223 Jefferson St, Boston, MA 02215",January
145060,Bose SoundSport Headphones,1,99.99,2019-01-30 22:44:00,"145 North St, Los Angeles, CA 90001",January
145066,Bose SoundSport Headphones,1,99.99,2019-01-25 20:13:00,"86 Main St, Dallas, TX 75001",January
149673,Bose SoundSport Headphones,1,99.99,2019-01-22 15:09:00,"609 Park St, New York City, NY 10001",January
150042,Bose SoundSport Headphones,1,99.99,2019-01-25 20:34:00,"585 8th St, New York City, NY 10001",January
141319,Bose SoundSport Headphones,1,99.99,2019-01-01 10:43:00,"548 Maple St, Boston, MA 02215",January
142341,Bose SoundSport Headphones,1,99.99,2019-01-19 05:19:00,"346 7th St, San Francisco, CA 94016",January
142976,Bose SoundSport Headphones,1,99.99,2019-01-04 09:26:00,"921 Lake St, Austin, TX 73301",January
147735,Bose SoundSport Headphones,1,99.99,2019-01-18 15:43:00,"931 Washington St, Seattle, WA 98101",January
149792,Bose SoundSport Headphones,1,99.99,2019-01-19 20:35:00,"660 North St, Boston, MA 02215",January
150040,Bose SoundSport Headphones,1,99.99,2019-01-03 15:23:00,"205 Highland St, New York City, NY 10001",January
144760,Bose SoundSport Headphones,1,99.99,2019-01-10 12:41:00,"713 Lake St, Boston, MA 02215",January
146802,Bose SoundSport Headphones,1,99.99,2019-01-10 19:57:00,"208 Johnson St, Atlanta, GA 30301",January
141734,Bose SoundSport Headphones,1,99.99,2019-01-29 15:48:00,"485 North St, Los Angeles, CA 90001",January
143667,Bose SoundSport Headphones,1,99.99,2019-01-23 12:00:00,"538 Chestnut St, Los Angeles, CA 90001",January
147417,Bose SoundSport Headphones,1,99.99,2019-01-20 01:45:00,"146 Johnson St, New York City, NY 10001",January
142383,Bose SoundSport Headphones,1,99.99,2019-01-18 11:06:00,"570 14th St, New York City, NY 10001",January
143223,Bose SoundSport Headphones,1,99.99,2019-01-16 10:05:00,"757 Elm St, Dallas, TX 75001",January
145142,Bose SoundSport Headphones,1,99.99,2019-01-10 14:14:00,"270 Lake St, Atlanta, GA 30301",January
147979,Bose SoundSport Headphones,1,99.99,2019-01-03 22:50:00,"760 West St, San Francisco, CA 94016",January
