Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
148837,USB-C Charging Cable,1,11.95,2019-01-06 12:09:00,"6 Lincoln St, San Francisco, CA 94016",January
149953,USB-C Charging Cable,2,11.95,2019-01-17 11:41:00,"605 2nd St, Boston, MA 02215",January
142700,USB-C Charging Cable,1,11.95,2019-01-20 07:52:00,"881 Spruce St, Boston, MA 02215",January
144873,USB-C Charging Cable,1,11.95,2019-01-15 16:03:00,"775 Lincoln St, Los Angeles, CA 90001",January
144888,USB-C Charging Cable,1,11.95,2019-01-14 22:49:00,"485 Lincoln St, Dallas, TX 75001",January
147758,USB-C Charging Cable,1,11.95,2019-01-01 09:48:00,"281 North St, Atlanta, GA 30301",January
147898,USB-C Charging Cable,1,11.95,2019-01-11 13:36:00,"461 9th St, New York City, NY 10001",January
141680,USB-C Charging Cable,2,11.95,2019-01-14 14:03:00,"980 Washington St, Portland, OR 97035",January
142166,USB-C Charging Cable,1,11.95,2019-01-24 15:27:00,"616 Johnson St, Boston, MA 02215",January
146890,USB-C Charging Cable,1,11.95,2019-01-08 19:51:00,"93 6th St, San Francisco, CA 94016",January
148315,USB-C Charging Cable,1,11.95,2019-01-07 20:57:00,"438 Cherry St, Portland, ME 04101",January
148460,USB-C Charging Cable,1,11.95,2019-01-04 15:17:00,"865 Jackson St, San Francisco, CA 94016",January
145071,USB-C Charging Cable,1,11.95,2019-01-08 23:50:00,"962 14th St, Seattle, WA 98101",January
147444,USB-C Charging Cable,1,11.95,2019-01-01 22:37:00,"585 Pine St, Atlanta, GA 30301",January
148140,USB-C Charging Cable,1,11.95,2019-01-23 18:39:00,"11 Dogwood St, Atlanta, GA 30301",January
148733,USB-C Charging Cable,1,11.95,2019-01-08 05:19:00,"337 Sunset St, San Francisco, CA 94016",January
148811,USB-C Charging Cable,1,11.95,2019-01-02 17:53:00,"703 7th St, Atlanta, GA 30301",January
150380,USB-C Charging Cable,2,11.95,2019-01-19 11:00:00,"913 Jackson St, San Francisco, CA 94016",January
150452,USB-C Charging Cable,1,11.95,2019-01-27 09:09:00,"18 Cedar St, New York City, NY 10001",January
146375,USB-C Charging Cable,1,11.95,2019-01-25 16:58:00,"370 Jackson St, Portland, OR 97035",January
146918,USB-C Charging Cable,1,11.95,2019-01-15 15:51:00,"127 Hill St, San Francisco, CA 94016",January
148139,USB-C Charging Cable,1,11.95,2019-01-10 15:35:00,"126 Johnson St, Boston, MA 02215",January
141384,USB-C Charging Cable,1,11.95,2019-01-03 00:14:00,"223 Jackson St, Boston, MA 02215",January
141848,USB-C Charging Cable,1,11.95,2019-01-12 16:47:00,"1 8th St, Atlanta, GA 30301",January
141937,USB-C Charging Cable,1,11.95,2019-01-02 08:31:00,"131 South St, New York City, NY 10001",January
143550,USB-C Charging Cable,1,11.95,2019-01-19 17:20:00,"751 Hickory St, Atlanta, GA 30301",January
144855,USB-C Charging Cable,1,11.95,2019-01-16 16:23:00,"968 Jackson St, Boston, MA 02215",January
145032,USB-C Charging Cable,1,11.95,2019-01-22 15:38:00,"515 Lincoln St, New York City, NY 10001",January
146064,USB-C Charging Cable,1,11.95,2019-01-07 10:04:00,"283 7th St, San Francisco, CA 94016",January
147261,USB-C Charging Cable,1,11.95,2019-01-17 11:53:00,"338 Spruce St, New York City, NY 10001",January
141329,USB-C Charging Cable,1,11.95,2019-01-01 16:01:00,"122 5th St, Portland, ME 04101",January
141736,USB-C Charging Cable,1,11.95,2019-01-18 12:47:00,"920 Meadow St, Seattle, WA 98101",January
143572,USB-C Charging Cable,1,11.95,2019-01-05 08:52:00,"151 10th St, Austin, TX 73301",January
143736,USB-C Charging Cable,1,11.95,2019-01-10 17:56:00,"638 Willow St, Los Angeles, CA 90001",January
144081,USB-C Charging Cable,1,11.95,2019-01-21 19:22:00,"371 Highland St, Portland, OR 97035",January
146188,USB-C Charging Cable,2,11.95,2019-01-24 13:21:00,"185 2nd St, Dallas, TX 75001",January
146700,USB-C Charging Cable,1,11.95,2019-01-30 09:07:00,"316 Walnut St, New York City, NY 10001",January
