Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
142062,Wired Headphones,1,11.99,2019-01-24 12:31:00,"930 Church St, San Francisco, CA 94016",January
142211,Wired Headphones,1,11.99,2019-01-03 16:01:00,"663 River St, New York City, NY 10001",January
143591,Wired Headphones,1,11.99,2019-01-26 23:06:00,"383 Elm St, New York City, NY 10001",January
149033,Wired Headphones,1,11.99,2019-01-18 22:17:00,"160 Jackson St, Seattle, WA 98101",January
143422,Wired Headphones,1,11.99,2019-01-05 21:52:00,"782 Dogwood St, Atlanta, GA 30301",January
144819,Wired Headphones,1,11.99,2019-01-18 16:28:00,"916 Pine St, New York City, NY 10001",January
148404,Wired Headphones,1,11.99,2019-01-15 09:29:00,"742 Lake St, San Francisco, CA 94016",January
143408,Wired Headphones,1,11.99,2019-01-02 14:19:00,"788 12th St, Los Angeles, CA 90001",January
145898,Wired Headphones,1,11.99,2019-01-19 17:32:00,"280 Chestnut St, Portland, OR 97035",January
145967,Wired Headphones,1,11.99,2019-01-19 21:20:00,"485 Wilson St, Boston, MA 02215",January
147729,Wired Headphones,1,11.99,2019-01-24 12:09:00,"719 Willow St, Boston, MA 02215",January
148846,Wired Headphones,1,11.99,2019-01-03 12:55:00,"86 North St, Dallas, TX 75001",January
141284,Wired Headphones,1,11.99,2019-01-29 18:30:00,"462 1st St, Los Angeles, CA 90001",January
141559,Wired Headphones,1,11.99,2019-01-26 22:08:00,"932 River St, Boston, MA 02215",January
142484,Wired Headphones,1,11.99,2019-01-31 23:29:00,"604 2nd St, San Francisco, CA 94016",January
143510,Wired Headphones,1,11.99,2019-01-24 15:34:00,"176 Dogwood St, Dallas, TX 75001",January
144319,Wired Headphones,1,11.99,2019-01-18 12:40:00,"517 Wilson St, Dallas, TX 75001",January
144367,Wired Headphones,1,11.99,2019-01-09 08:15:00,"105 South St, New York City, NY 10001",January
149882,Wired Headphones,1,11.99,2019-01-17 11:04:00,"720 Hill St, Boston, MA 02215",January
142339,Wired Headphones,2,11.99,2019-01-10 17:12:00,"115 7th St, Portland, OR 97035",January
146572,Wired Headphones,1,11.99,2019-01-14 21:29:00,"527 11th St, Los Angeles, CA 90001",January
146669,Wired Headphones,1,11.99,2019-01-26 19:11:00,"753 Maple St, Los Angeles, CA 90001",January
150369,Wired Headphones,1,11.99,2019-01-25 01:14:00,"634 Wilson St, San Francisco, CA 94016",January
141770,Wired Headphones,1,11.99,2019-01-04 19:50:00,"50 Willow St, San Francisco, CA 94016",January
143009,Wired Headphones,1,11.99,2019-01-10 21:34:00,"856 7th St, Dallas, TX 75001",January
145300,Wired Headphones,1,11.99,2019-01-20 07:07:00,"82 Walnut St, Seattle, WA 98101",January
146658,Wired Headphones,1,11.99,2019-01-25 18:26:00,"383 1st St, Atlanta, GA 30301",January
144023,Wired Headphones,1,11.99,2019-01-29 12:10:00,"610 Highland St, Seattle, WA 98101",January
146433,Wired Headphones,1,11.99,2019-01-28 12:52:00,"646 Dogwood St, Portland, OR 97035",January
146797,Wired Headphones,1,11.99,2019-01-21 11:20:00,"323 Highland St, Los Angeles, CA 90001",January
144459,Wired Headphones,1,11.99,2019-01-11 18:30:00,"3 10th St, Los Angeles, CA 90001",January
145418,Wired Headphones,1,11.99,2019-01-18 10:24:00,"41 4th St, San Francisco, CA 94016",January
146278,Wired Headphones,1,11.99,2019-01-12 15:31:00,"594 13th St, San Francisco, CA 94016",January
149986,Wired Headphones,1,11.99,2019-01-06 15:42:00,"539 7th St, New York City, NY 10001",January
142963,Wired Headphones,1,11.99,2019-01-14 17:12:00,"70 12th St, New York City, NY 10001",January
143735,Wired Headphones,1,11.99,2019-01-02 18:25:00,"57 Cedar St, Los Angeles, CA 90001",January
147128,Wired Headphones,1,11.99,2019-01-21 16:03:00,"488 Jackson St, New York City, NY 10001",January
141965,Wired Headphones,1,11.99,2019-01-09 13:55:00,"303 10th St, Boston, MA 02215",January
142490,Wired Headphones,1,11.99,2019-01-02 14:24:00,"43 10th St, San Francisco, CA 94016",January
143984,Wired Headphones,1,11.99,2019-01-22 14:54:00,"459 Hickory St, Boston, MA 02215",January
145232,Wired Headphones,1,11.99,2019-01-08 18:48:00,"621 Hickory St, Boston, MA 02215",January
147111,Wired Headphones,1,11.99,2019-01-05 21:40:00,"182 Lake St, San Francisco, CA 94016",January
149465,Wired Headphones,1,11.99,2019-01-28 11:27:00,"475 Lake St, Los Angeles, CA 90001",January
142861,Wired Headphones,1,11.99,2019-01-04 23:37:00,"828 Pine St, Austin, TX 73301",January
143561,Wired Headphones,1,11.99,2019-01-13 11:51:00,"607 Highland St, San Francisco, CA 94016",January
144899,Wired Headphones,1,11.99,2019-01-11 17:54:00,"370 Lincoln St, Dallas, TX 75001",January
147049,Wired Headphones,1,11.99,2019-01-24 08:37:00,"807 7th St, San Francisco, CA 94016",January
141967,Wired Headphones,1,11.99,2019-01-25 12:02:00,"397 Meadow St, Los Angeles, CA 90001",January
142231,Wired Headphones,2,11.99,2019-01-18 05:53:00,"142 Sunset St, Portland, OR 97035",January
143909,Wired Headphones,1,11.99,2019-01-25 11:30:00,"189 5th St, Dallas, TX 75001",January
144563,Wired Headphones,1,11.99,2019-01-19 17:22:00,"366 Madison St, Portland, OR 97035",January
144945,Wired Headphones,1,11.99,2019-01-10 13:14:00,"430 Hill St, San Francisco, CA 94016",January
141780,Wired Headphones,1,11.99,2019-01-20 20:15:00,"443 11th St, San Francisco, CA 94016",January
142837,Wired Headphones,1,11.99,2019-01-19 16:32:00,"260 9th St, Dallas, TX 75001",January
143865,Wired Headphones,1,11.99,2019-01-26 20:53:00,"620 Johnson St, Seattle, WA 98101",January
148979,Wired Headphones,1,11.99,2019-01-10 07:43:00,"891 Johnson St, Los Angeles, CA 90001",January
149450,Wired Headphones,1,11.99,2019-01-23 20:12:00,"751 Forest St, San Francisco, CA 94016",January
150018,Wired Headphones,1,11.99,2019-01-09 05:21:00,"424 7th St, New York City, NY 10001",January
142142,Wired Headphones,1,11.99,2019-01-22 13:00:00,"804 Willow St, Seattle, WA 98101",January
142232,Wired Headphones,2,11.99,2019-01-04 23:52:00,"776 12th St, Los Angeles, CA 90001",January
142715,Wired Headphones,1,11.99,2019-01-16 16:29:00,"685 Elm St, Los Angeles, CA 90001",January
142780,Wired Headphones,1,11.99,2019-01-22 10:29:00,"253 Cherry St, New York City, NY 10001",January
143336,Wired Headphones,1,11.99,2019-01-29 09:45:00,"540 Walnut St, San Francisco, CA 94016",January
144800,Wired Headphones,1,11.99,2019-01-08 12:04:00,"132 River St, Portland, OR 97035",January
146996,Wired Headphones,1,11.99,2019-01-19 19:57:00,"898 Madison St, New York City, NY 10001",January
147754,Wired Headphones,1,11.99,2019-01-26 17:41:00,"487 10th St, San Francisco, CA 94016",January
148080,Wired Headphones,1,11.99,2019-01-24 17:17:00,"909 Forest St, Los Angeles, CA 90001",January
149396,Wired Headphones,1,11.99,2019-01-22 06:13:00,"945 Highland St, Seattle, WA 98101",January
143585,Wired Headphones,1,11.99,2019-01-08 23:41:00,"398 Park St, Atlanta, GA 30301",January
144252,Wired Headphones,1,11.99,2019-01-01 17:56:00,"164 Park St, Atlanta, GA 30301",January
145705,Wired Headphones,1,11.99,2019-01-31 14:20:00,"132 West St, Los Angeles, CA 90001",January
141933,Wired Headphones,1,11.99,2019-01-17 16:31:00,"307 Walnut St, Los Angeles, CA 90001",January
143060,Wired Headphones,1,11.99,2019-01-21 16:20:00,"994 12th St, Boston, MA 02215",January
143828,Wired Headphones,1,11.99,2019-01-19 22:08:00,"778 Pine St, Austin, TX 73301",January
144602,Wired Headphones,1,11.99,2019-01-27 14:54:00,"220 Cedar St, Los Angeles, CA 90001",January
144973,Wired Headphones,2,11.99,2019-01-03 23:19:00,"205 Cedar St, Boston, MA 02215",January
145391,Wired Headphones,1,11.99,2019-01-23 19:15:00,"927 8th St, New York City, NY 10001",January
146589,Wired Headphones,1,11.99,2019-01-26 11:34:00,"317 Washington St, New York City, NY 10001",January
148312,Wired Headphones,1,11.99,2019-01-12 19:58:00,"171 6th St, Atlanta, GA 30301",January
148660,Wired Headphones,1,11.99,2019-01-07 15:04:00,"389 Church St, Dallas, TX 75001",January
143489,Wired Headphones,1,11.99,2019-01-24 19:12:00,"622 Forest St, San Francisco, CA 94016",January
146565,Wired Headphones,1,11.99,2019-01-20 19:49:00,"803 9th St, Seattle, WA 98101",January
146930,Wired Headphones,1,11.99,2019-01-18 11:53:00,"273 Church St, Boston, MA 02215",January
141273,Wired Headphones,2,11.99,2019-01-29 12:04:00,"994 13th St, Boston, MA 02215",January
141376,Wired Headphones,1,11.99,2019-01-20 14:57:00,"32 West St, Los Angeles, CA 90001",January
142683,Wired Headphones,1,11.99,2019-01-09 08:46:00,"648 Sunset St, Atlanta, GA 30301",January
143978,Wired Headphones,1,11.99,2019-01-21 23:08:00,"302 Lakeview St, Los Angeles, CA 90001",January
146446,Wired Headphones,3,11.99,2019-01-01 18:20:00,"678 2nd St, New York City, NY 10001",January
148611,Wired Headphones,1,11.99,2019-01-20 10:39:00,"465 5th St, New York City, NY 10001",January
150107,Wired Headphones,1,11.99,2019-01-06 17:56:00,"692 Forest St, Dallas, TX 75001",January
142622,Wired Headphones,1,11.99,2019-01-27 16:49:00,"933 Dogwood St, San Francisco, CA 94016",January
147751,Wired Headphones,1,11.99,2019-01-30 18:34:00,"7 Main St, San Francisco, CA 94016",January
148626,Wired Headphones,1,11.99,2019-01-08 10:45:00,"327 4th St, San Francisco, CA 94016",January
144704,Wired Headphones,1,11.99,2019-01-26 11:23:00,"846 13th St, Boston, MA 02215",January
146795,Wired Headphones,1,11.99,2019-01-20 09:20:00,"886 Highland St, New York City, NY 10001",January
147829,Wired Headphones,1,11.99,2019-01-10 15:38:00,"701 1st St, Los Angeles, CA 90001",January
147838,Wired Headphones,1,11.99,2019-01-06 19:45:00,"425 9th St, Austin, TX 73301",January
148662,Wired Headphones,1,11.99,2019-01-14 13:40:00,"682 11th St, Portland, ME 04101",January
141521,Wired Headphones,1,11.99,2019-01-06 11:19:00,"724 Hickory St, Los Angeles, CA 90001",January
146915,Wired Headphones,1,11.99,2019-01-01 21:23:00,"837 13th St, New York City, NY 10001",January
141919,Wired Headphones,1,11.99,2019-01-02 12:55:00,"197 Ridge St, Boston, MA 02215",January
142795,Wired Headphones,1,11.99,2019-01-02 22:06:00,"192 Maple St, San Francisco, CA 94016",January
143010,Wired Headphones,1,11.99,2019-01-13 10:41:00,"510 Maple St, Los Angeles, CA 90001",January
143710,Wired Headphones,1,11.99,2019-01-30 19:50:00,"801 11th St, Seattle, WA 98101",January
146447,Wired Headphones,1,11.99,2019-01-10 13:26:00,"284 14th St, Boston, MA 02215",January
147541,Wired Headphones,2,11.99,2019-01-03 08:29:00,"236 Hill St, Boston, MA 02215",January
141238,Wired Headphones,1,11.99,2019-01-25 11:59:00,"387 10th St, Austin, TX 73301",January
142261,Wired Headphones,1,11.99,2019-01-23 08:47:00,"5 5th St, Dallas, TX 75001",January
142469,Wired Headphones,1,11.99,2019-01-03 09:52:00,"428 Wilson St, Boston, MA 02215",January
142985,Wired Headphones,1,11.99,2019-01-19 09:37:00,"220 North St, Seattle, WA 98101",January
143677,Wired Headphones,1,11.99,2019-01-14 19:02:00,"959 13th St, Los Angeles, CA 90001",January
145077,Wired Headphones,1,11.99,2019-01-12 23:03:00,"896 Church St, Boston, MA 02215",January
146067,Wired Headphones,1,11.99,2019-01-11 21:12:00,"810 Spruce St, Austin, TX 73301",January
146834,Wired Headphones,1,11.99,2019-01-30 15:47:00,"128 Main St, Austin, TX 73301",January
147209,Wired Headphones,1,11.99,2019-01-05 20:25:00,"431 Dogwood St, San Francisco, CA 94016",January
147795,Wired Headphones,1,11.99,2019-01-03 22:34:00,"701 Cherry St, San Francisco, CA 94016",January
148019,Wired Headphones,1,11.99,2019-01-17 17:35:00,"829 South St, San Francisco, CA 94016",January
141363,Wired Headphones,1,11.99,2019-01-08 06:24:00,"921 Highland St, Dallas, TX 75001",January
141672,Wired Headphones,1,11.99,2019-01-27 23:05:00,"608 North St, Dallas, TX 75001",January
144060,Wired Headphones,1,11.99,2019-01-23 19:05:00,"974 Elm St, San Francisco, CA 94016",January
144132,Wired Headphones,1,11.99,2019-01-13 07:22:00,"321 Church St, Los Angeles, CA 90001",January
144625,Wired Headphones,1,11.99,2019-01-28 22:43:00,"163 12th St, San Francisco, CA 94016",January
146259,Wired Headphones,1,11.99,2019-01-30 15:14:00,"440 Lincoln St, San Francisco, CA 94016",January
142718,Wired Headphones,1,11.99,2019-01-27 09:44:00,"361 Forest St, Seattle, WA 98101",January
143332,Wired Headphones,1,11.99,2019-01-19 01:21:00,"287 South St, Los Angeles, CA 90001",January
147131,Wired Headphones,1,11.99,2019-01-12 10:00:00,"693 Wilson St, Boston, MA 02215",January
149773,Wired Headphones,1,11.99,2019-01-18 22:07:00,"889 Lakeview St, Boston, MA 02215",January
150217,Wired Headphones,1,11.99,2019-01-31 01:37:00,"39 Center St, New York City, NY 10001",January
141236,Wired Headphones,2,11.99,2019-01-17 13:33:00,"538 Adams St, San Francisco, CA 94016",January
143243,Wired Headphones,1,11.99,2019-01-10 19:02:00,"550 Cherry St, San Francisco, CA 94016",January
141838,Wired Headphones,1,11.99,2019-01-15 15:07:00,"4 Main St, San Francisco, CA 94016",January
143124,Wired Headphones,1,11.99,2019-01-09 08:08:00,"601 Forest St, San Francisco, CA 94016",January
