Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Month
141408,Apple Airpods Headphones,1,150.0,2019-01-07 13:25:00,"103 14th St, San Francisco, CA 94016",January
143035,Apple Airpods Headphones,1,150.0,2019-01-08 14:47:00,"560 Washington St, San Francisco, CA 94016",January
149243,Apple Airpods Headphones,1,150.0,2019-01-21 14:26:00,"109 12th St, Portland, ME 04101",January
141300,Apple Airpods Headphones,1,150.0,2019-01-23 10:21:00,"121 Cherry St, Boston, MA 02215",January
144410,Apple Airpods Headphones,1,150.0,2019-01-15 08:06:00,"364 Center St, San Francisco, CA 94016",January
147532,Apple Airpods Headphones,1,150.0,2019-01-10 20:55:00,"637 Center St, Boston, MA 02215",January
149559,Apple Airpods Headphones,1,150.0,2019-01-24 13:05:00,"744 12th St, San Francisco, CA 94016",January
144062,Apple Airpods Headphones,1,150.0,2019-01-02 09:40:00,"79 Lincoln St, New York City, NY 10001",January
145497,Apple Airpods Headphones,1,150.0,2019-01-16 17:53:00,"676 Wilson St, Los Angeles, CA 90001",January
146789,Apple Airpods Headphones,1,150.0,2019-01-15 10:24:00,"862 Hill St, Los Angeles, CA 90001",January
147381,Apple Airpods Headphones,1,150.0,2019-01-27 10:49:00,"181 Cedar St, Boston, MA 02215",January
150418,Apple Airpods Headphones,1,150.0,2019-01-31 19:13:00,"358 Lakeview St, New York City, NY 10001",January
141612,Apple Airpods Headphones,1,150.0,2019-01-24 10:33:00,"892 12th St, Los Angeles, CA 90001",January
144051,Apple Airpods Headphones,1,150.0,2019-01-28 23:45:00,"802 Pine St, Boston, MA 02215",January
147030,Apple Airpods Headphones,1,150.0,2019-01-14 05:29:00,"685 Ridge St, Los Angeles, CA 90001",January
150124,Apple Airpods Headphones,1,150.0,2019-01-08 16:53:00,"156 11th St, San Francisco, CA 94016",January
143927,Apple Airpods Headphones,1,150.0,2019-01-09 17:51:00,"542 5th St, San Francisco, CA 94016",January
144153,Apple Airpods Headphones,1,150.0,2019-01-03 15:29:00,"230 Madison St, Los Angeles, CA 90001",January
144667,Apple Airpods Headphones,1,150.0,2019-01-16 20:17:00,"185 Park St, Atlanta, GA 30301",January
145221,Apple Airpods Headphones,1,150.0,2019-01-16 13:57:00,"982 1st St, Portland, OR 97035",January
145710,Apple Airpods Headphones,1,150.0,2019-01-16 22:37:00,"144 Lake St, New York City, NY 10001",January
147944,Apple Airpods Headphones,1,150.0,2019-01-19 04:22:00,"210 Main St, San Francisco, CA 94016",January
149885,Apple Airpods Headphones,1,150.0,2019-01-08 08:04:00,"983 Madison St, San Francisco, CA 94016",January
141312,Apple Airpods Headphones,1,150.0,2019-01-08 23:20:00,"741 11th St, San Francisco, CA 94016",January
142629,Apple Airpods Headphones,1,150.0,2019-01-15 15:28:00,"891 Lake St, San Francisco, CA 94016",January
143876,Apple Airpods Headphones,1,150.0,2019-01-28 22:09:00,"265 Ridge St, San Francisco, CA 94016",January
144906,Apple Airpods Headphones,1,150.0,2019-01-31 11:44:00,"512 Ridge St, Dallas, TX 75001",January
150323,Apple Airpods Headphones,1,150.0,2019-01-15 23:31:00,"381 Wilson St, San Francisco, CA 94016",January
141876,Apple Airpods Headphones,1,150.0,2019-01-13 11:16:00,"81 Maple St, San Francisco, CA 94016",January
143626,Apple Airpods Headphones,1,150.0,2019-01-10 12:27:00,"60 West St, Los Angeles, CA 90001",January
144150,Apple Airpods Headphones,1,150.0,2019-01-17 16:56:00,"398 Church St, Boston, MA 02215",January
146677,Apple Airpods Headphones,1,150.0,2019-01-16 09:57:00,"721 Wilson St, Portland, OR 97035",January
149343,Apple Airpods Headphones,1,150.0,2019-01-01 04:56:00,"735 5th St, New York City, NY 10001",January
142429,Apple Airpods Headphones,1,150.0,2019-01-10 16:37:00,"199 11th St, Los Angeles, CA 90001",January
143754,Apple Airpods Headphones,1,150.0,2019-01-10 13:20:00,"955 Center St, Austin, TX 73301",January
145229,Apple Airpods Headphones,1,150.0,2019-01-18 21:58:00,"389 Lake St, Boston, MA 02215",January
146674,Apple Airpods Headphones,1,150.0,2019-01-04 07:29:00,"35 Highland St, Atlanta, GA 30301",January
147054,Apple Airpods Headphones,1,150.0,2019-01-16 07:58:00,"685 Jackson St, Boston, MA 02215",January
147227,Apple Airpods Headphones,1,150.0,2019-01-26 23:14:00,"67 13th St, Boston, MA 02215",January
147551,Apple Airpods Headphones,1,150.0,2019-01-10 09:43:00,"20 Jackson St, Atlanta, GA 30301",January
149759,Apple Airpods Headphones,1,150.0,2019-01-28 09:31:00,"336 Sunset St, Los Angeles, CA 90001",January
149849,Apple Airpods Headphones,1,150.0,2019-01-20 17:48:00,"804 Center St, Los Angeles, CA 90001",January
141636,Apple Airpods Headphones,1,150.0,2019-01-09 10:24:00,"790 Wilson St, Austin, TX 73301",January
146028,Apple Airpods Headphones,1,150.0,2019-01-29 21:45:00,"152 Center St, Austin, TX 73301",January
146140,Apple Airpods Headphones,1,150.0,2019-01-31 21:03:00,"430 Main St, Austin, TX 73301",January
142680,Apple Airpods Headphones,1,150.0,2019-01-26 09:46:00,"251 Center St, Dallas, TX 75001",January
141656,Apple Airpods Headphones,1,150.0,2019-01-02 10:40:00,"476 Center St, Atlanta, GA 30301",January
142296,Apple Airpods Headphones,1,150.0,2019-01-27 18:18:00,"915 River St, Atlanta, GA 30301",January
142875,Apple Airpods Headphones,1,150.0,2019-01-09 03:27:00,"610 Elm St, New York City, NY 10001",January
142878,Apple Airpods Headphones,1,150.0,2019-01-17 10:17:00,"654 Cedar St, Dallas, TX 75001",January
145726,Apple Airpods Headphones,1,150.0,2019-01-15 21:07:00,"98 Center St, Los Angeles, CA 90001",January
142468,Apple Airpods Headphones,1,150.0,2019-01-25 07:35:00,"209 South St, Seattle, WA 98101",January
144851,Apple Airpods Headphones,2,150.0,2019-01-26 06:48:00,"238 North St, New York City, NY 10001",January
145464,Apple Airpods Headphones,1,150.0,2019-01-21 19:13:00,"14 6th St, Los Angeles, CA 90001",January
146075,Apple Airpods Headphones,1,150.0,2019-01-03 19:28:00,"317 Madison St, Los Angeles, CA 90001",January
149959,Apple Airpods Headphones,1,150.0,2019-01-10 19:08:00,"621 12th St, San Francisco, CA 94016",January
